Relative Time	Peak at 1100	Peak at 1125	Peak at 1650	Annotations
02:48:26	-0.00907357	-0.000999792	-0.00532458	
02:48:56	-0.00726172	0.00168214	0.00274971	
02:49:26	-0.0116071	0.000891231	-0.0111837	
02:49:56	-0.0129666	-0.00334471	-0.00413946	
02:50:26	-0.0100664	-0.00460732	-0.0108639	
02:50:56	-0.0031458	-5.30622e-05	-0.0139227	
02:51:26	-0.013817	0.00206089	-0.00500953	
02:51:56	-0.0115914	-0.00232169	-0.0207122	
02:52:26	-0.0144877	-1.67249e-05	-0.00553344	
02:52:56	-0.00711064	-0.00109578	0.0022154	
02:53:26	-0.00674447	-0.00418908	-0.0108528	
02:53:56	-0.00887223	-0.00176351	0.000420566	
02:54:26	-0.0103564	-0.00197135	-0.0123425	
02:54:56	-0.00930897	0.000651039	-0.0155259	
02:55:26	-0.0141988	0.000235159	-0.02251	
02:55:56	-0.00871609	-0.00312608	-0.0141864	
02:56:26	-0.00936093	0.0047536	-0.0178037	
02:56:56	0.0448152	0.108079	0.00489798	
02:57:26	0.172278	0.336609	0.0615394	
02:57:56	0.132016	0.238255	0.0366687	
02:58:26	0.0236379	0.0609924	-0.0125653	
02:58:56	-0.000828007	0.0111245	-0.0179068	
02:59:26	-0.0109589	0.00293864	-0.00625472	
02:59:55	-0.00585837	-0.00404268	-0.0102301	
03:00:26	-0.0166899	-0.0054888	-0.00265393	
03:00:56	-0.0137843	-0.00273576	-0.00834766	
03:01:26	-0.013555	-0.00292243	-0.022488	
03:01:56	-0.0166365	-0.00455946	-0.0192479	
03:02:26	-0.0205137	-0.0029634	-0.014412	
03:02:56	-0.0136254	-0.00562887	-0.0233221	
03:03:26	-0.0186701	-0.00226684	-0.0266114	
03:03:56	-0.00885224	-0.00273941	-0.0079784	
03:04:26	-0.00990679	-0.00206395	-0.0106025	
03:04:56	-0.01207	-0.00406177	-0.00586631	
03:05:26	-0.00534449	-0.00149987	-0.0158991	
03:05:56	-0.00834032	-0.000816793	-0.00702015	
03:06:26	-0.0113587	-0.00188346	-0.00514053	
03:06:56	-0.0103649	0.00171611	-0.0118734	
03:07:26	-0.0116435	-0.00286225	-0.0164256	
03:07:56	-0.0129452	-0.00104151	-0.0141741	
03:08:26	-0.00282521	0.000569508	-0.0163665	
03:08:56	-0.0108236	-0.00420165	-0.00860856	
03:09:26	-0.00830935	-0.00545444	-0.00652813	
03:09:56	-0.0135224	-0.0024043	-0.0167509	
03:10:26	-0.00548753	-0.00281619	-0.0116433	
03:10:56	-0.00957187	-0.000455795	-0.0223541	
03:11:26	-0.00556527	-0.00548002	-0.0218187	
03:11:56	-0.0148434	-0.00283432	-0.0164747	
03:12:26	-0.00927156	-0.00457656	-0.00433981	
03:12:56	-0.00777121	-0.00375396	-0.0162661	
03:13:26	-0.0192895	-0.000331378	-0.0146257	
03:13:56	0.00414753	0.0216795	-0.00535211	
03:14:26	0.0935209	0.188833	0.0235835	
03:14:56	0.162699	0.30919	0.0505364	
03:15:26	0.0779311	0.132329	0.0133052	
03:15:56	0.0028205	0.0226454	-0.0168037	
03:16:26	-0.00770245	0.00203859	-0.0129648	
03:16:56	-0.00743346	-0.00163434	-0.00418574	
03:17:26	-0.010792	-0.00132451	-0.00807427	
03:17:56	-0.0118148	-0.0033675	-0.0102443	
03:18:26	-0.0144856	-0.00580347	-0.00477069	
03:18:56	-0.0114358	-0.00197488	-0.0088736	
03:19:26	-0.00952998	-0.000501414	-0.0199428	
03:19:56	-0.00538242	0.00123555	-0.0114316	
03:20:26	-0.0138242	-0.00437422	-0.0193843	
03:20:56	-0.00691492	-0.00111695	-0.0182573	
03:21:26	-0.0102564	-0.0030953	-0.0303345	
03:21:56	-0.00761184	-0.000589402	-0.0196131	
03:22:26	-0.0153476	-0.00315385	-0.00938853	
03:22:56	-0.0114767	0.0030065	-0.0252071	
03:23:26	-0.0122262	-0.00225557	-0.0246651	
03:23:56	-0.015651	-0.0047366	-0.0185953	
03:24:26	-0.010925	-0.00251564	-0.0187971	
03:24:56	-0.00911686	-0.000784598	-0.0169866	
03:25:26	-0.00858072	-0.00450894	-0.0263211	
03:25:57	-0.0113871	-0.00673678	-0.0206166	
03:26:26	-0.0124472	-0.00322429	-0.00966998	
03:26:56	-0.00837513	-0.000769391	-0.0151185	
03:27:26	-0.014264	-0.00404701	-0.0110084	
03:27:56	-0.00919813	-0.00153938	-0.0267837	
03:28:26	-0.00927474	-0.00263641	-0.00852308	
03:28:55	-0.00988429	-0.00300574	-0.0176083	
03:29:26	-0.0108129	-0.0047934	-0.0137533	
03:29:56	-0.0114043	-0.00474635	-0.0168567	
03:30:26	-0.0116461	-5.9879e-05	-0.0189733	
03:30:56	-0.00841192	0.0122402	-0.0166582	
03:31:26	0.0628066	0.131645	0.0119065	
03:31:56	0.154085	0.281027	0.0570757	
03:32:26	0.0803912	0.139685	0.010003	
03:32:56	0.00704241	0.0266079	-0.0205667	
03:33:26	-0.0134488	-0.000555323	-0.0163408	
03:33:55	-0.0108738	-0.0023862	-0.0050281	
03:34:26	-0.00843844	-0.00109029	-0.0200654	
03:34:56	-0.0106169	-0.000902835	-0.0157107	
03:35:26	-0.00723919	-0.00147187	-0.0179541	
03:35:56	-0.00978237	-0.00184643	-0.025604	
03:36:26	-0.00502654	-0.00227957	-0.00509572	
03:36:56	-0.00854653	-0.000583758	-0.0182636	
03:37:27	-0.0129894	-0.0014459	-0.00231465	
03:37:56	-0.0107134	-0.00305267	-0.0125845	
03:38:26	-0.00700781	-0.00320564	-0.0127405	
03:38:56	-0.0100813	-3.28864e-06	-0.0154429	
03:39:26	-0.00740192	-0.00201394	-0.0194123	
03:39:56	-0.0031864	-9.92234e-05	-0.0125753	
03:40:26	-0.0145514	-0.00276113	-0.0199377	
03:40:56	-0.0087298	0.00102006	-0.0145905	
03:41:26	-0.0116302	-0.000831057	-0.0133505	
03:41:56	-0.00875154	-0.00411921	-0.0252643	
