Relative Time	Peak at 1591 cm-1	Annotations
05:54:26	0.0146468	
05:54:41	0.0169707	
05:54:55	0.0138267	
05:55:11	0.0168679	
05:55:26	0.0142535	
05:55:41	0.0139687	
05:55:56	0.0166679	
05:56:10	0.0160655	
05:56:26	0.0151118	
05:56:41	0.0147592	
05:56:56	0.0190226	
05:57:11	0.033583	
05:57:24	0.0338484	
05:57:40	0.0291471	
05:57:55	0.0307627	
05:58:11	0.0279524	
05:58:26	0.0270548	
05:58:40	0.0279106	
05:58:56	0.0283123	
05:59:11	0.0281552	
05:59:26	0.0274836	
05:59:41	0.0264866	
05:59:56	0.0289922	
06:00:11	0.0229075	
06:00:26	0.0119174	
06:00:41	0.0100291	
06:00:56	0.0129896	
06:01:10	0.0161752	
06:01:26	0.0137187	
06:01:41	0.0140936	
06:01:56	0.010725	
06:02:11	0.0115163	
06:02:26	0.0161102	
06:02:41	0.0125634	
06:02:56	0.0120256	
06:03:11	0.0128033	
06:03:26	0.014463	
06:03:41	0.0121972	
06:03:56	0.0158439	
06:04:11	0.0134074	
06:04:26	0.0162648	
06:04:41	0.0484092	
06:04:56	0.135704	
06:05:10	0.131489	
06:05:25	0.0962668	
06:05:41	0.0985298	
06:05:56	0.0970432	
06:06:11	0.09642	
06:06:25	0.0968554	
06:06:41	0.0941726	
06:06:56	0.0963506	
06:07:11	0.0963568	
06:07:26	0.0921585	
06:07:41	0.0909595	
06:07:56	0.0924404	
06:08:10	0.0302607	
06:08:26	0.0171295	
06:08:41	0.0162942	
06:08:56	0.0182705	
06:09:11	0.0181574	
06:09:26	0.0160471	
06:09:41	0.0161959	
06:09:56	0.0135254	
06:10:11	0.0135568	
06:10:26	0.017297	
06:10:41	0.0137591	
06:10:56	0.0181305	
06:11:10	0.0141055	
06:11:26	0.018128	
06:11:41	0.0144045	
06:11:56	0.0167351	
06:12:11	0.0163233	
06:12:26	0.0243372	
06:12:41	0.115553	
06:12:55	0.133537	
06:13:11	0.0991255	
06:13:26	0.0910335	
06:13:41	0.0932911	
06:13:56	0.0914196	
06:14:11	0.0878505	
06:14:26	0.0910212	
06:14:41	0.086761	
06:14:56	0.0889106	
06:15:11	0.0874767	
06:15:26	0.0856832	
06:15:41	0.0817596	
06:15:56	0.0875998	
06:16:11	0.0236481	
06:16:26	0.0160619	
06:16:41	0.0140542	
06:16:55	0.0165342	
06:17:10	0.0148044	
06:17:26	0.0181189	
06:17:40	0.0135562	
06:17:55	0.0137539	
06:18:10	0.0152751	
06:18:26	0.0140251	
06:18:40	0.0168221	
06:18:55	0.0144447	
06:19:11	0.0149547	
06:19:26	0.0173279	
06:19:41	0.0176461	
06:19:55	0.0150959	
06:20:10	0.0148946	
06:20:26	0.0390886	
06:20:40	0.112693	
06:20:56	0.102929	
06:21:11	0.0812253	
06:21:26	0.078376	
06:21:40	0.0793179	
06:21:56	0.0797803	
06:22:11	0.0779124	
06:22:26	0.0769328	
06:22:41	0.0779611	
06:22:56	0.0737807	
06:23:10	0.0765723	
06:23:26	0.0765724	
06:23:41	0.0719157	
06:23:56	0.0211502	
06:24:11	0.0123865	
06:24:26	0.0181721	
06:24:41	0.016212	
06:24:56	0.0144582	
06:25:10	0.0163026	
06:25:25	0.0183767	
06:25:41	0.0141039	
06:25:56	0.0159188	
06:26:11	0.0164508	
06:26:26	0.0169454	
06:26:41	0.0184069	
06:26:56	0.0175869	
06:27:11	0.0169998	
06:27:26	0.0139318	
06:27:41	0.0143963	
06:27:55	0.0180398	
06:28:11	0.0146471	
06:28:26	0.0686916	
06:28:40	0.0978596	
06:28:56	0.0802763	
06:29:11	0.0749233	
06:29:26	0.0721467	
06:29:41	0.0732071	
06:29:56	0.0748288	
06:30:10	0.0709929	
06:30:26	0.0742272	
06:30:41	0.0730834	
06:30:56	0.0696362	
06:31:11	0.0716597	
06:31:26	0.0699225	
06:31:41	0.0726938	
06:31:55	0.0235285	
06:32:11	0.016882	
06:32:26	0.0120708	
06:32:41	0.0150571	
06:32:56	0.0137352	
06:33:10	0.0134657	
06:33:26	0.0145874	
06:33:41	0.0147635	
06:33:55	0.016397	
06:34:11	0.0151509	
06:34:25	0.0202609	
06:34:41	0.017206	
06:34:56	0.0143545	
06:35:11	0.016632	
06:35:26	0.014793	
06:35:41	0.0164426	
06:35:56	0.0129587	
06:36:11	0.0149799	
06:36:26	0.0794068	
06:36:41	0.0902483	
06:36:55	0.0641337	
06:37:11	0.0621226	
06:37:26	0.0612305	
06:37:41	0.0592446	
06:37:56	0.0620458	
06:38:11	0.0608802	
06:38:26	0.0591165	
06:38:41	0.0608263	
06:38:56	0.0611548	
