Relative Time	Peak at 829 cm-1	Peak at 1216 cm-1	Peak at 1714 cm-1	Peak at 1753 cm-1
02:05:26	-0.00195199	-0.0172648	0.0569048	0.0974638
02:05:56	-0.00120689	-0.0176834	0.0523138	0.101221
02:06:26	-0.00274344	-0.0220504	0.053664	0.0857681
02:06:56	0.00235731	-0.00627952	0.0547782	0.106738
02:07:26	0.0195594	0.424124	0.147232	0.441776
02:07:56	0.127933	2.57989	0.744415	2.09661
02:08:26	0.195415	3.41053	1.07057	2.6725
02:08:56	0.150092	2.67393	0.860879	2.12054
02:09:26	0.102877	1.82943	0.600728	1.49926
02:09:55	0.0642496	1.1463	0.388415	0.994711
02:10:25	0.033888	0.649587	0.240264	0.60474
02:10:55	0.0185225	0.362491	0.162166	0.387034
02:11:25	0.0041709	0.18358	0.11141	0.254086
02:11:55	-0.00126971	0.0171819	0.067969	0.127296
02:12:25	-0.00337587	-0.0107469	0.05991	0.101874
02:12:55	-0.00424461	0.0140973	0.0503656	0.132251
02:13:25	0.012625	0.638167	0.0732107	0.598598
02:13:56	0.0799708	2.64703	0.333945	2.13307
02:14:25	0.0992132	2.80807	0.439659	2.23799
02:14:55	0.0739575	2.18755	0.366282	1.75076
02:15:25	0.0515153	1.48628	0.261125	1.21578
02:15:56	0.0230089	0.936393	0.173101	0.793636
02:16:26	0.0124977	0.55461	0.117858	0.523011
02:16:55	0.00515798	0.311351	0.0813434	0.330008
02:17:26	0.00335077	0.173769	0.0706112	0.23969
02:17:55	-0.00216923	0.0427083	0.0509392	0.137419
02:18:25	-0.00547538	-0.00503887	0.0480564	0.0939276
02:18:55	-0.00507008	0.0372695	0.047676	0.132784
02:19:26	0.0169669	0.816609	0.0799145	0.754974
02:19:56	0.0791094	2.67369	0.312738	2.15441
02:20:24	0.0835029	2.55418	0.362139	2.04888
02:20:56	0.060928	1.90388	0.293028	1.53605
02:21:26	0.0381143	1.29077	0.210605	1.07912
02:21:56	0.0184421	0.80683	0.142676	0.697492
02:22:26	0.00944905	0.467445	0.0993844	0.451444
02:22:56	0.00371344	0.261324	0.0726103	0.286347
02:23:26	-0.00338384	0.135215	0.05863	0.198151
02:23:56	-0.00564849	0.0160224	0.0505823	0.0999435
02:24:26	-0.00556016	-0.00882904	0.0509025	0.0986231
02:24:56	-0.00234393	0.0636746	0.0436403	0.143945
02:25:26	0.0138497	0.988146	0.0823806	0.877174
02:25:56	0.0762381	2.62432	0.285329	2.13449
02:26:26	0.0691596	2.26417	0.298403	1.82759
02:26:56	0.0481887	1.64664	0.232715	1.36283
02:27:26	0.0289442	1.11783	0.167102	0.952461
02:27:56	0.0157839	0.685043	0.110298	0.617872
02:28:26	0.00827513	0.388287	0.0780965	0.393169
02:28:56	0.00419082	0.219462	0.0600988	0.27151
02:29:26	0.00134672	0.0961375	0.0521702	0.166551
02:29:56	-0.00228183	0.001946	0.0471367	0.107229
02:30:25	-0.00464987	-0.00895958	0.0492227	0.0994843
02:30:55	-0.00341562	0.12417	0.0363595	0.199495
02:31:25	0.0247933	1.25408	0.0823248	1.09772
02:31:56	0.0692399	2.48139	0.246477	2.03065
02:32:26	0.0546398	1.92864	0.227372	1.59516
02:32:55	0.0273431	1.22168	0.154296	1.03946
02:33:26	0.0167028	0.694154	0.103639	0.634404
02:33:56	0.00306524	0.324045	0.0737508	0.345425
02:34:25	0.00399258	0.182727	0.0598775	0.248259
02:34:55	0.000220967	0.0898954	0.049288	0.169278
02:35:26	-0.00636096	0.0029261	0.0496658	0.109557
02:35:55	-0.00206244	-0.0146031	0.0539609	0.101195
02:36:25	-0.00349388	-0.00441083	0.0473581	0.10958
02:36:56	0.000998494	0.274865	0.0297602	0.319236
02:37:26	0.0305508	1.62958	0.086371	1.39828
02:37:55	0.0576479	2.22257	0.189332	1.84778
02:38:26	0.0371349	1.54457	0.150051	1.32765
02:38:56	0.0195176	0.84632	0.100737	0.764736
02:39:25	0.00554643	0.389463	0.0706796	0.409694
02:39:55	0.00106382	0.19695	0.0568429	0.274482
02:40:25	-0.00305834	0.113778	0.0487492	0.195611
02:40:56	-0.00425495	0.0140523	0.0482492	0.111078
02:41:25	-0.00320103	-0.00972113	0.045103	0.0990797
02:41:56	-0.00461289	-0.013794	0.0490483	0.103153
